tname,title,view,like,danmaku,share,coin
家居房产,宠物友好…便宜…好养…有品位的植物推荐！（有人真的事很多！！）,480624,36110,649,4263,4263
动物二创,那些好玩的动物视频！,1902534,141370,1291,652,652
手机游戏,尘歌壶已经进化成这样了？？四区结合《一梦徽州》教程,68987,6591,144,434,434
新能源车,到手三天大事故，小米su7从生态到售后体验如何？,586111,30294,4840,3049,3049
影视杂谈,高太尉的奋斗！底层小混混，如何翻身做主人？,772795,43970,6637,2065,2065
短片·手书,【猫meme蛊】逆流河上万仙退！爱情不敌坚持泪,416166,59657,599,4326,4326
特摄,神帝虎侠！！！,471536,32890,623,452,452
影视杂谈,【深海浩劫】海上平台原油泄露，还原真实的灭顶之灾！,6571111,126134,2282,840,840
健身,能被自己的老爸认可应该是每一个孩子最幸福的事儿！,726686,140948,263,226,226
搞笑,泼水节.我……干！！！！,1016846,98662,286,820,820
短片·手书,铁道双子 [蔚蓝档案动画片],595489,81256,247,4601,4601
电子竞技,《峡谷追击令4：说话！》,723773,74829,716,629,629
手机游戏,开局疯狂爆氪！挑战在斗破苍穹里硬刚萧炎！,713040,46382,515,629,629
出行,我买了世界上最漂亮的手枪！武器界的劳斯莱斯！价值上万元！,1205620,101698,5059,966,966
绘画,我要成为我人生的主角，烟灰3,216077,27367,50,203,203
短片·手书,恋爱取向摸底测试！你取向是偏同or双？0or1？纯爱or纯欲？受虐or施虐？……,311850,32017,3958,5588,5588
日常,那天，我在大山里捡了一个女儿…,894408,153537,1118,792,792
健身,每年挑战一个减脂大case，去年海涛，今年俞涛，都涛涛不绝了！你们觉得这个挑战难度大吗？！,1407470,176289,456,909,909
人力VOCALOID,⚡️我 在 1840 年 沉 睡 1921 年 准 时 起⚡️,255004,40179,154,976,976
搞笑,测评下噶痔疮手术，但是女友做！,374628,22147,580,3480,3480
美食记录,"青梅精不过如此,我已经吃饱了",218597,29668,1177,1161,1161
搞笑,哄小孩的外卖小哥,847127,112158,622,229,229
短片·手书,【第五人格生日会】隐士：学生说要送我一份大礼,880832,170402,911,5605,5605
科学科普,人类的性演化，为何我们进化出这么多快感？【进化论】,812948,33448,2289,5404,5404
娱乐杂谈,【名利场】女优们的报复,1545078,47386,5336,6987,6987
运动综合,打坐犯困怎么办？,974592,92843,240,666,666
日常,狂飙兄弟郑州回马枪之偶遇流浪大爷,122297,24106,255,76,76
社科·法律·心理,“当年在厕所把我堵住暴揍的人 现在成为了初中老师”【天降】,202221,17742,1618,1614,1614
短片,滴～豪门体验卡已到期,246593,34820,195,137,137
美食记录,胖龙来小强家蹭饭，一顿经典捞面，胖龙直接干两碗,682253,30881,2025,265,265
手机游戏,“我  们  仨”,1007575,230021,485,32984,32984
电子竞技,火舞：真是一场酣畅淋漓的配合,502301,49491,115,828,828
社科·法律·心理,你眼中的问题，是他的解决方案！,47343,2661,364,608,608
计算机技术,历经30年，为啥这个文件夹越来越没存在感,499429,22272,700,629,629
手机游戏,【巅峰之塔#8】强度膨胀，烽烟再起！不重复干员主线挑战第八期,109590,11703,1984,690,690
明星综合,【TF家族练习生】《星期五练习生》41:「嘻游记」噼里啪啦 噼里啪啦,195770,11830,45231,328,328
日常,30 秒区分，生旦净（末）丑#京剧 #中华文化,1233211,197600,228,797,797
篮球,在一声声尖叫中迷失自我！,465429,53715,168,715,715
电子竞技,“在一片嘘声中顶住压力，在全场欢呼中黯然离场...”,520870,40454,452,3418,3418
影视杂谈,《绝命毒师》原版团队，居然拍了一部《暗黑》？！硬核科幻美剧《群星》上,1196812,71018,3970,2647,2647
MAD·AMV,比起晴天，我更需要阳菜！,633548,115815,122,2366,2366
穿搭,当148cm的我带着cos服去旅游 会发生什么？？？,286291,40773,481,403,403
手机游戏,15年前仅1mb的国产良心手游居然骗小孩充值,1215015,58759,2161,526,526
搞笑,小时候，路边捡的垃圾都能玩的很开心,387058,34690,770,142,142
搞笑,恶魔轮盘赌！坐杀博徒 启动！,378643,59777,4176,949,949
乐评盘点,【RAY评】网络热门歌曲审讯《5：20AM》到底抄袭了没？,1092106,43481,7347,3653,3653
单机游戏,【散人】中式恐怖《喜丧》扒开囚笼见真相,605638,56666,8510,7514,7514
动漫杂谈,日本动漫界最黑暗的一天！真是一场酣畅淋漓的赤石啊！,268859,25161,4170,2521,2521
综合,【扒】每天都想上吊的单身老汉，靠什么活下去的？《辛普森一家》之何以解脱,157830,17947,224,113,113
手工,用500斤矿石能提炼出多少黄金？,2958030,132085,1954,742,742
出行,一个人去日本溜达了12天！,189922,17372,977,2309,2309
VOCALOID·UTAU,【AI木叶女团x扉间指导】《日不落》,157300,20853,257,998,998
三农,什么？！漫天飞舞的除了柳絮还可能是虫？！【主播说三农】,1004618,120488,1912,7308,7308
翻唱,一日速成河南萝莉⚡️我在“5:20”睡觉13:14准时起⚡️,392950,29074,530,2162,2162
日常,中国小伙在阿富汗持续多日清空馕店，每天1000个馕分享给贫困的人们，慷慨解囊,1501959,114700,4553,1411,1411
单机游戏,刚领的游戏，请问是这样玩吗,250274,32637,423,1257,1257
影视杂谈,史上最贱、最污、最没节操的谍战喜剧，全程爆笑，笑到怀疑人生！《王牌贱谍：格林姆斯比》,616858,17078,1747,1845,1845
原创音乐,《谢天谢帝》官方MV 诺米么lodmemo,1739814,86071,2082,9880,9880
美食侦探,这七盘黑暗料理对比九转大肠，应该更胜一筹,241965,24506,622,301,301
美食侦探,老广州人才知道的顶级街头美食！这期视频一定要收藏！,248164,14738,1050,4368,4368
日常,《不要插队》,547069,122345,159,2626,2626
音乐现场,BABYMONSTER RAMI Cover Dinosaur认哥Live版,585398,54414,1702,6170,6170
单机游戏,【庄园领主】当我来到中世纪当领主，该如何在劳动力低下的中世纪发展起来！ManorLords正式版,198218,11631,880,508,508
搞笑,【猫meme】如果命运无法改变，就努力活下去,953293,187805,1335,1017,1017
动漫杂谈,【树哥】信息量炸裂！五代家灭门惨案提前发生？谜团和伏笔慢慢揭开！《猎奇杀人灭门篇》第3集,92509,10477,574,395,395
手机游戏,玩第五人格！我感觉我像个小丑,108796,12575,669,248,248
美食侦探,日本14斤大胃王烤肉！普通人挑战到底啥体验?,544216,36243,1597,544,544
手机游戏,【明日方舟】到底是不是博士？特蕾西娅死亡真相！,156425,16537,995,2502,2502
设计·创意,原来还可以这样打字~,232635,26230,16,419,419
数码,夜晚 宿舍 室友一起开黑,2136862,82206,512,2765,2765
鬼畜调教,⚡5:20造谣⚡ 13:14就被抓⚡,454238,38633,427,1423,1423
手机游戏,【真实测评45】超强常态减速但输出不足的合体地刺！阿斯卡纶专九实战测评,224636,20120,1754,695,695
改装玩车,98777-987,341111,40484,77,273,273
短片·手书,【轰】我早就说过该进精神病院的不是我吧！,302235,52188,2187,607,607
音乐综合,【宋雨琦】1st Mini Album [YUQ1] Audio Snippet,69121,12063,1205,1769,1769
短片·手书,野猪王之御猪飞行！,890337,129492,1352,15248,15248
日常,太可爱辣忍不住画了一张，正在考虑接稿^O^,1048344,241561,785,21444,21444
电子竞技,发牌员硬塞,556512,39010,207,319,319
日常,我买了最好和最坏的座位，连看了两天演唱会,949376,75177,2584,5895,5895
校园学习,【最后十课】函数篇！2024高考冲刺！,345832,31243,4130,1905,1905
数码,新款华为MateBook X Pro评测：980g的工艺品,239578,13095,2563,1242,1242
电子竞技,LOL官方举办的上单SOLO擂台赛！,392892,42128,344,306,306
美妆护肤,“垃圾堆”里扒好东西，郑合惠子是内娱第一个！,337684,45008,607,522,522
校园学习,Хаха,834861,59935,77,3143,3143
手机游戏,【萌黄速报】5月高招S秽土解斑！新版本情报速览！,1308496,60756,1820,13517,13517
人文历史,真的不理解，古代将军重兵在握为何轻易自杀,225759,30718,214,126,126
短片·手书,"《蛊真人》第七十四集：照影秘方,花酒迷离",119914,20729,1619,301,301
美食制作,隋卞一做 |三分钟速成！醋和蛋下掉你所有的饭！醋炒蛋,453411,24867,784,2868,2868
短片·手书,【猫meme】女大报名参军被突然带走(后续来啦！),349755,53855,925,509,509
喵星人,不愧是三号楼，给我创造地狱级难度,526623,73384,1486,797,797
单机游戏,红警队友被房主嘲讽！瞬间受不了含笑九泉，那我只能替他报仇了！,296999,19736,1577,142,142
手机游戏,【原神4.6前瞻】仆人：“万达国际那也能叫激情互秒？”,585035,43437,1542,2547,2547
日常,让我看看，是谁又把10000块买的手机用成老人机？,150490,11176,178,204,204
鬼畜调教,五点二十，准时提钢！,306745,37647,126,6594,6594
特摄,版本弃子，被虚空占模的速度型战士,1221785,110346,2185,2946,2946
电子竞技,10000血就这？新版蝎子1个Q秒了！超越版本的理解！【有点骚东西】,506405,30752,1330,1596,1596
搞笑,没 营 养 的 一 条 视 频,177670,24170,836,1630,1630
小剧场,现代人就该用高科技解决问题（举起,211928,30986,465,323,323
科学科普,【基德】减肥神技？？168断食法的真相,135678,10655,579,838,838
汪星人,懂你的狗无需多言！这该死的默契,859329,76374,235,1568,1568
人文历史,帝国霸权如何利用建国美梦，操控中东第四大民族【中东19丨库尔德】,617685,40558,2779,598,598
网络游戏,这是暴雪专门为了讨好国服玩家做的模式吗？再造模式简直良心到离谱！,408703,12120,2356,10661,10661
数码,芯片放大几万倍，你会看到什么？,3186483,311789,11026,14546,14546
数码,「小白」买机大挑战！预算250块能买到什么神机？,423841,33878,3186,840,840
MV,骗子 骗子 我要DISS你,1849046,299338,1105,20696,20696
科学科普,前往深渊！我们在贵州，见到了中国最壮观的地下山河【新山海经02】,734282,68137,2491,7404,7404
特摄,糖分爆表！特摄魅魔？假面骑士版罗密欧与朱丽叶！纯爱什么的最棒了！最终Boss亮相？【Who说特摄】《假面骑士歌查德》第30-31集吐槽,96938,9886,1207,145,145
手工,为什么要网暴一个支持原创国货的女生？,493788,67507,195,108,108
日常,这五分半钟的时间记录下了属于我们的故事…,85634,30598,186,155,155
日常,[猫meme]人不可能一直衰,736630,70197,111,108,108
单机游戏,【边缘世界1.5】最新异象DLC！机械军团VS恐怖异常！(第一集) RimWorld,79958,9870,1765,96,96
计算机技术,docker是什么？和kubernetes(k8s)是什么关系？,94814,6769,158,497,497
单机游戏,童年火爆全网的摩天楼游戏 最终结局究竟是什么？？？,354249,11809,808,906,906
影视杂谈,"颂莲的五重精神死亡！陈家""明枪暗箭""是如何杀人的？10万字逐帧解读《大红灯笼高高挂》⑯",89190,7785,750,88,88
单机游戏,红警基地车被巨炮轰成一滴血！两次都是丝血逃生！,230935,16101,1286,78,78
人力VOCALOID,⚡我 在 5:20 睡 觉 13:14 准 时 起⚡,1337680,134818,1124,5660,5660
喵星人,你遇到了妈妈，就再也不是没有生日的小猫啦！,287323,73790,989,1653,1653
美食侦探,湖南妹子：这 个 不 辣 ！,1089353,85389,2559,3417,3417
电子竞技,开局被嘲讽不会玩，8分钟后：诶，对面高地呢？,341063,13552,1499,132,132
网络游戏,玫瑰精灵篇—12年前，母亲居然带着我去网吧充值【AJ说枪,136367,10652,728,464,464
美妆护肤,10年中医学硕士告诉你，你的红枣吃错了！,1765793,104511,91,11366,11366
极客DIY,自制左轮里电钻,1209897,95369,5882,3035,3035
手机游戏,【星穹铁道】匹诺康康尼德2.1.exe,76984,11269,600,702,702
电子竞技,当我被对面无情嘲讽? 无限反转 猜不到结局,417191,32186,455,192,192
单机游戏,「在末日我们为了生存吃掉了兄弟」最终生还者试玩,171655,28362,782,172,172
娱乐杂谈,骨相皮相大起底！鞠婧祎改个妆就会像景甜周迅曾黎等大美人？,414659,27526,3217,933,933
人文历史,为什么2024年感觉不一样了？,263941,13639,2307,1689,1689
搞笑,急诊精神科的日常II（合集篇）-妹妹说紫色很有韵味,258351,23513,999,3482,3482
搞笑,想刀一个人的眼神，是藏不住的,1308412,109272,243,789,789
手机游戏,孩子，200抽是不可能满命的,613720,62263,6507,12864,12864
手机游戏,全近战六星干员 VS 温顺武装驮兽，四爷新模组首秀！,261261,18889,1693,191,191
电子竞技,当上把开摆的队友说要带我赢时,493649,39362,1514,666,666
